year,quarter,quarter_qf,hb,hb_name,hbqf,location,location_name,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beddays,all_staffed_beddays_qf,total_occupied_beddays,total_occupied_beddays_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf,yq
2021,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,16159,NA,12269,NA,177.5714286,NA,134.8241758,NA,75.92672814,NA,2021Q2
2021,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,16897,NA,12029,NA,183.6630435,NA,130.75,NA,71.1901521,NA,2021Q3
2021,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,17794,NA,12613,NA,193.4130435,NA,137.0978261,NA,70.88344386,NA,2021Q4
2022,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,17342,NA,12101,NA,192.6888889,NA,134.4555556,NA,69.77857225,NA,2022Q1
2022,2,p,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,All Acute,d,16909,NA,12412,NA,185.8131868,NA,136.3956044,NA,73.40469572,NA,2022Q2
2017,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,15604,NA,11614,NA,171.4725275,NA,127.6263736,NA,74.42963343,NA,2017Q2
2017,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,15426,NA,11658,NA,167.673913,NA,126.7173913,NA,75.57370673,NA,2017Q3
2017,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,16159,NA,12434,NA,175.6413043,NA,135.1521739,NA,76.94783093,NA,2017Q4
2018,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,15681,NA,11871,NA,174.2333333,NA,131.9,NA,75.70308016,NA,2018Q1
2018,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,15817,NA,12349,NA,173.8131868,NA,135.7032967,NA,78.07422394,NA,2018Q2
2018,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,15806,NA,12390,NA,171.8043478,NA,134.673913,NA,78.38795394,NA,2018Q3
2018,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,14852,NA,11765,NA,161.4347826,NA,127.8804348,NA,79.21492055,NA,2018Q4
2019,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,14783,NA,11654,NA,164.2555556,NA,129.4888889,NA,78.83379558,NA,2019Q1
2019,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,14929,NA,11897,NA,164.0549451,NA,130.7362637,NA,79.6905352,NA,2019Q2
2019,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,15392,NA,12067,NA,167.3043478,NA,131.1630435,NA,78.39786902,NA,2019Q3
2019,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,15603,NA,11659,NA,169.5978261,NA,126.7282609,NA,74.72280972,NA,2019Q4
2020,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,14896,NA,10915,NA,163.6923077,NA,119.9450549,NA,73.27470462,NA,2020Q1
2020,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,14417,NA,8152,NA,158.4285714,NA,89.58241758,NA,56.54435736,NA,2020Q2
2020,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,15524,NA,10016,NA,168.7391304,NA,108.8695652,NA,64.51945375,NA,2020Q3
2020,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,15756,NA,11255,NA,171.2608696,NA,122.3369565,NA,71.43310485,NA,2020Q4
2021,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,16637,NA,12150,NA,184.8555556,NA,135,NA,73.02999339,NA,2021Q1
2021,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,16240,NA,12350,NA,178.4615385,NA,135.7142857,NA,76.04679803,NA,2021Q2
2021,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,16931,NA,12063,NA,184.0326087,NA,131.1195652,NA,71.24800662,NA,2021Q3
2021,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,17796,NA,12615,NA,193.4347826,NA,137.1195652,NA,70.88671612,NA,2021Q4
2022,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,17342,NA,12101,NA,192.6888889,NA,134.4555556,NA,69.77857225,NA,2022Q1
2022,2,p,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,Z9,d,All Specialties,d,16909,NA,12412,NA,185.8131868,NA,136.3956044,NA,73.40469572,NA,2022Q2
2017,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C3,NA,Anaesthetics,NA,8,NA,8,NA,0.087912088,NA,0.087912088,NA,100,NA,2017Q2
2017,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C3,NA,Anaesthetics,NA,7,NA,7,NA,0.076086957,NA,0.076086957,NA,100,NA,2017Q4
2020,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C3,NA,Anaesthetics,NA,56,NA,56,NA,0.615384615,NA,0.615384615,NA,100,NA,2020Q2
2020,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C3,NA,Anaesthetics,NA,17,NA,17,NA,0.184782609,NA,0.184782609,NA,100,NA,2020Q4
2021,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C3,NA,Anaesthetics,NA,36,NA,36,NA,0.4,NA,0.4,NA,100,NA,2021Q1
2021,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C3,NA,Anaesthetics,NA,1,NA,1,NA,0.010869565,NA,0.010869565,NA,100,NA,2021Q3
2021,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C3,NA,Anaesthetics,NA,24,NA,24,NA,0.260869565,NA,0.260869565,NA,100,NA,2021Q4
2017,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2561,NA,2268,NA,28.14285714,NA,24.92307692,NA,88.55915658,NA,2017Q2
2017,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2492,NA,2148,NA,27.08695652,NA,23.34782609,NA,86.19582665,NA,2017Q3
2017,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2635,NA,2312,NA,28.64130435,NA,25.13043478,NA,87.74193548,NA,2017Q4
2018,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2395,NA,2050,NA,26.61111111,NA,22.77777778,NA,85.59498956,NA,2018Q1
2018,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2574,NA,2294,NA,28.28571429,NA,25.20879121,NA,89.12198912,NA,2018Q2
2018,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2728,NA,2396,NA,29.65217391,NA,26.04347826,NA,87.82991202,NA,2018Q3
2018,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2920,NA,2574,NA,31.73913043,NA,27.97826087,NA,88.15068493,NA,2018Q4
2019,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2757,NA,2483,NA,30.63333333,NA,27.58888889,NA,90.06166123,NA,2019Q1
2019,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2637,NA,2363,NA,28.97802198,NA,25.967032970000002,NA,89.60940463,NA,2019Q2
2019,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2740,NA,2352,NA,29.7826087,NA,25.56521739,NA,85.83941606,NA,2019Q3
2019,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2591,NA,2276,NA,28.16304348,NA,24.73913043,NA,87.84253184,NA,2019Q4
2020,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,2692,NA,2248,NA,29.58241758,NA,24.7032967,NA,83.50668648,NA,2020Q1
2020,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,4515,NA,3294,NA,49.61538462,NA,36.1978022,NA,72.95681063,NA,2020Q2
2020,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,4112,NA,3011,NA,44.69565217,NA,32.72826087,NA,73.22470817,NA,2020Q3
2020,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,3667,NA,2548,NA,39.85869565,NA,27.69565217,NA,69.48459231,NA,2020Q4
2021,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,4251,NA,3061,NA,47.23333333,NA,34.01111111,NA,72.00658669,NA,2021Q1
2021,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,3400,NA,3118,NA,37.36263736,NA,34.26373626,NA,91.70588235,NA,2021Q2
2021,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,3682,NA,3196,NA,40.02173913,NA,34.73913043,NA,86.80065182,NA,2021Q3
2021,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,4530,NA,3746,NA,49.23913043,NA,40.7173913,NA,82.69315673,NA,2021Q4
2022,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,4614,NA,3770,NA,51.26666667,NA,41.88888889,NA,81.70784569,NA,2022Q1
2022,2,p,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A2,NA,Cardiology,NA,3807,NA,3294,NA,41.83516484,NA,36.1978022,NA,86.5248227,NA,2022Q2
2017,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7581,NA,5418,NA,83.30769231,NA,59.53846154,NA,71.46814404,NA,2017Q2
2017,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7675,NA,5552,NA,83.42391304,NA,60.34782609,NA,72.33876221,NA,2017Q3
2017,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7791,NA,5661,NA,84.68478261,NA,61.5326087,NA,72.66076242,NA,2017Q4
2018,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7781,NA,5858,NA,86.45555556,NA,65.08888889,NA,75.28595296,NA,2018Q1
2018,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7818,NA,6052,NA,85.91208791,NA,66.50549451,NA,77.41110258,NA,2018Q2
2018,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7681,NA,5916,NA,83.48913043,NA,64.30434783,NA,77.0212212,NA,2018Q3
2018,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7176,NA,5497,NA,78,NA,59.75,NA,76.6025641,NA,2018Q4
2019,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7230,NA,5644,NA,80.33333333,NA,62.71111111,NA,78.06362379,NA,2019Q1
2019,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7428,NA,6188,NA,81.62637363,NA,68,NA,83.30640819,NA,2019Q2
2019,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7644,NA,6197,NA,83.08695652,NA,67.35869565,NA,81.07012036,NA,2019Q3
2019,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7877,NA,6165,NA,85.61956522,NA,67.01086957,NA,78.26583725,NA,2019Q4
2020,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7486,NA,5828,NA,82.26373626,NA,64.04395604,NA,77.85199038,NA,2020Q1
2020,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,6612,NA,3707,NA,72.65934066,NA,40.73626374,NA,56.06473079,NA,2020Q2
2020,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7074,NA,5123,NA,76.89130435,NA,55.68478261,NA,72.42013005,NA,2020Q3
2020,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,6981,NA,5396,NA,75.88043478,NA,58.65217391,NA,77.2955164,NA,2020Q4
2021,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7232,NA,5083,NA,80.35555556,NA,56.47777778,NA,70.28484513,NA,2021Q1
2021,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7502,NA,5413,NA,82.43956044,NA,59.48351648,NA,72.15409224,NA,2021Q2
2021,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7688,NA,5321,NA,83.56521739,NA,57.83695652,NA,69.21175858,NA,2021Q3
2021,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7994,NA,5441,NA,86.89130435,NA,59.14130435,NA,68.06354766,NA,2021Q4
2022,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7635,NA,4825,NA,84.83333333,NA,53.61111111,NA,63.19580878,NA,2022Q1
2022,2,p,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C4,NA,Cardiothoracic Surgery,NA,7897,NA,5597,NA,86.78021978,NA,61.50549451,NA,70.87501583,NA,2022Q2
2021,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,H1,NA,Clinical Radiology,NA,27,NA,27,NA,0.3,NA,0.3,NA,100,NA,2021Q1
2021,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,H1,NA,Clinical Radiology,NA,48,NA,48,NA,0.527472527,NA,0.527472527,NA,100,NA,2021Q2
2021,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,H1,NA,Clinical Radiology,NA,3,NA,3,NA,0.032608696,NA,0.032608696,NA,100,NA,2021Q4
2021,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,Dental Grouping,d,7,NA,7,NA,0.077777778,NA,0.077777778,NA,100,NA,2021Q1
2021,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,Dental Grouping,d,2,NA,2,NA,0.021978022,NA,0.021978022,NA,100,NA,2021Q2
2021,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,Dental Grouping,d,2,NA,2,NA,0.02173913,NA,0.02173913,NA,100,NA,2021Q3
2021,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,NA,z,Dental Grouping,d,2,NA,2,NA,0.02173913,NA,0.02173913,NA,100,NA,2021Q4
2020,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,260,NA,260,NA,2.857142857,NA,2.857142857,NA,100,NA,2020Q2
2020,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,184,NA,184,NA,2,NA,2,NA,100,NA,2020Q3
2020,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,122,NA,122,NA,1.326086957,NA,1.326086957,NA,100,NA,2020Q4
2021,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,157,NA,157,NA,1.744444444,NA,1.744444444,NA,100,NA,2021Q1
2021,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,113,NA,113,NA,1.241758242,NA,1.241758242,NA,100,NA,2021Q2
2021,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,28,NA,28,NA,0.304347826,NA,0.304347826,NA,100,NA,2021Q3
2021,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,57,NA,57,NA,0.619565217,NA,0.619565217,NA,100,NA,2021Q4
2022,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,69,NA,69,NA,0.766666667,NA,0.766666667,NA,100,NA,2022Q1
2022,2,p,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,6,NA,6,NA,0.065934066,NA,0.065934066,NA,100,NA,2022Q2
2022,2,p,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,A9,NA,Gastroenterology,NA,1,NA,1,NA,0.010989011,NA,0.010989011,NA,100,NA,2022Q2
2017,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,57,NA,57,NA,0.626373626,NA,0.626373626,NA,100,NA,2017Q2
2017,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,65,NA,65,NA,0.706521739,NA,0.706521739,NA,100,NA,2017Q3
2017,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,47,NA,47,NA,0.510869565,NA,0.510869565,NA,100,NA,2017Q4
2018,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,72,NA,72,NA,0.8,NA,0.8,NA,100,NA,2018Q1
2018,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,49,NA,49,NA,0.538461538,NA,0.538461538,NA,100,NA,2018Q2
2018,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,61,NA,61,NA,0.663043478,NA,0.663043478,NA,100,NA,2018Q3
2018,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,94,NA,94,NA,1.02173913,NA,1.02173913,NA,100,NA,2018Q4
2019,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,39,NA,39,NA,0.433333333,NA,0.433333333,NA,100,NA,2019Q1
2019,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,43,NA,43,NA,0.472527473,NA,0.472527473,NA,100,NA,2019Q2
2019,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,34,NA,34,NA,0.369565217,NA,0.369565217,NA,100,NA,2019Q3
2019,4,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,47,NA,47,NA,0.510869565,NA,0.510869565,NA,100,NA,2019Q4
2020,1,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,55,NA,55,NA,0.604395604,NA,0.604395604,NA,100,NA,2020Q1
2020,2,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,804,NA,111,NA,8.835164835,NA,1.21978022,NA,13.80597015,NA,2020Q2
2020,3,NA,SB0801,The Golden Jubilee National Hospital,NA,D102H,Golden Jubilee National Hospital,NA,C1,NA,General Surgery,NA,1022,NA,145,NA,11.10869565,NA,1.576086957,NA,14.18786693,NA,2020Q3
