year,month,hbt,hb_name,treatment_location,location_name,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_of_attendances_episode_qf,number_meeting_target_aggregate,number_meeting_target_episode,number_meeting_target_episode_qf,discharge_destination_admission_to_same,discharge_destination_admission_to_same_qf,discharge_destination_other_specialty,discharge_destination_other_specialty_qf,discharge_destination_residence,discharge_destination_residence_qf,discharge_destination_transfer,discharge_destination_transfer_qf,discharge_destination_unknown,discharge_destination_unknown_qf,attendance_greater8hrs,attendance_greater8hrs_qf,attendance_greater12hrs,attendance_greater12hrs_qf,is_covid_year
2017,01,S08000020,Grampian,N451H,Fleming Cottage Hospital,Minor Injury Unit or Other,9,NA,z,9,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N494H,Kincardine Community Hospital,Minor Injury Unit or Other,53,NA,z,53,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000020,Grampian,N683C,NA,Minor Injury Unit or Other,34,NA,z,34,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000031,Greater Glasgow and Clyde,C206H,Vale of Leven General Hospital,Minor Injury Unit or Other,1337,1337,NA,1300,1300,NA,205,NA,1,NA,1032,NA,86,NA,13,NA,1,NA,0,NA,FALSE
2017,01,S08000031,Greater Glasgow and Clyde,C313H,Inverclyde Royal Hospital,Emergency Department,2529,2529,NA,2413,2413,NA,706,NA,4,NA,1575,NA,42,NA,202,NA,6,NA,0,NA,FALSE
2017,01,S08000031,Greater Glasgow and Clyde,C418H,Royal Alexandra Hospital,Emergency Department,5684,5684,NA,4925,4925,NA,2018,NA,13,NA,3444,NA,123,NA,86,NA,36,NA,0,NA,FALSE
2017,01,S08000031,Greater Glasgow and Clyde,G107H,Glasgow Royal Infirmary,Emergency Department,7429,7429,NA,6458,6458,NA,2240,NA,20,NA,4767,NA,141,NA,261,NA,82,NA,7,NA,FALSE
2017,01,S08000031,Greater Glasgow and Clyde,G207H,Stobhill Hospital,Minor Injury Unit or Other,1516,1516,NA,1515,1515,NA,0,NA,0,NA,1383,NA,112,NA,21,NA,0,NA,0,NA,FALSE
2017,01,S08000031,Greater Glasgow and Clyde,G306H,New Victoria Hospital,Minor Injury Unit or Other,2524,2524,NA,2524,2524,NA,0,NA,0,NA,2235,NA,264,NA,25,NA,0,NA,0,NA,FALSE
2017,01,S08000031,Greater Glasgow and Clyde,G405H,Queen Elizabeth University Hospital,Emergency Department,7823,7823,NA,6165,6165,NA,2468,NA,16,NA,4976,NA,120,NA,243,NA,220,NA,55,NA,FALSE
2017,01,S08000031,Greater Glasgow and Clyde,G513H,Royal Hospital for Children,Emergency Department,4485,4485,NA,4461,4461,NA,821,NA,0,NA,3658,NA,3,NA,3,NA,0,NA,0,NA,FALSE
2017,01,S08000022,Highland,C106H,Cowal Community Hospital,Minor Injury Unit or Other,567,NA,z,567,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,C108H,Islay Hospital,Minor Injury Unit or Other,102,NA,z,102,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,C113H,Victoria Hospital,Minor Injury Unit or Other,362,NA,z,358,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,C121H,Lorn & Islands Hospital,Emergency Department,611,611,NA,591,591,NA,194,NA,1,NA,403,NA,13,NA,0,NA,1,NA,1,NA,FALSE
2017,01,S08000022,Highland,C122H,Campbeltown Hospital,Minor Injury Unit or Other,442,NA,z,441,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H101H,Dunbar Hospital,Minor Injury Unit or Other,171,NA,z,168,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H103H,Caithness General Hospital,Emergency Department,570,570,NA,538,538,NA,187,NA,0,NA,383,NA,0,NA,0,NA,2,NA,1,NA,FALSE
2017,01,S08000022,Highland,H106H,Lawson Memorial Hospital,Minor Injury Unit or Other,51,NA,z,51,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H202H,Raigmore Hospital,Emergency Department,2625,2625,NA,2379,2379,NA,792,NA,4,NA,1811,NA,18,NA,0,NA,7,NA,0,NA,FALSE
2017,01,S08000022,Highland,H208H,Nairn Town and County Hospital,Minor Injury Unit or Other,478,NA,z,478,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H210H,Ian Charles Community Hospital,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H212H,Belford Hospital,Emergency Department,615,615,NA,597,597,NA,143,NA,1,NA,468,NA,3,NA,0,NA,0,NA,0,NA,FALSE
2017,01,S08000022,Highland,H214H,Mackinnon Memorial Hospital,Minor Injury Unit or Other,328,NA,z,328,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H215H,Portree Hospital,Minor Injury Unit or Other,80,NA,z,80,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H217H,Ross Memorial Hospital,Minor Injury Unit or Other,81,NA,z,81,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H219H,County Community Hospital Invergordon,Minor Injury Unit or Other,99,NA,z,99,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H224H,Mid-Argyll Community Hospital and Integrated Care Centre,Minor Injury Unit or Other,392,NA,z,382,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H227B,NA,Minor Injury Unit or Other,126,NA,z,122,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000022,Highland,H227H,Mull and Iona Community Hospital,Minor Injury Unit or Other,126,NA,z,122,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000032,Lanarkshire,L106H,University Hospital Monklands,Emergency Department,5566,5566,NA,5326,5326,NA,1892,NA,12,NA,3521,NA,94,NA,47,NA,6,NA,1,NA,FALSE
2017,01,S08000032,Lanarkshire,L206H,Kello Hospital,Minor Injury Unit or Other,65,NA,z,65,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000032,Lanarkshire,L207H,Lady Home Cottage Hospital,Minor Injury Unit or Other,78,NA,z,78,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000032,Lanarkshire,L302H,University Hospital Hairmyres,Emergency Department,5186,5186,NA,4406,4406,NA,1650,NA,2,NA,3448,NA,73,NA,13,NA,177,NA,54,NA,FALSE
2017,01,S08000032,Lanarkshire,L308H,University Hospital Wishaw,Emergency Department,5300,5300,NA,4572,4572,NA,1431,NA,6,NA,3736,NA,65,NA,62,NA,132,NA,35,NA,FALSE
2017,01,S08000024,Lothian,S108H,Edington Cottage Hospital,Minor Injury Unit or Other,121,NA,z,121,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000024,Lothian,S116H,Western General Hospital,Minor Injury Unit or Other,3763,3763,NA,3191,3191,NA,1090,NA,1,NA,2655,NA,17,NA,0,NA,216,NA,124,NA,FALSE
2017,01,S08000024,Lothian,S308H,St John's Hospital,Emergency Department,4505,4505,NA,4237,4237,NA,1021,NA,6,NA,3399,NA,79,NA,0,NA,26,NA,1,NA,FALSE
2017,01,S08000024,Lothian,S314H,Royal Infirmary of Edinburgh at Little France,Emergency Department,9688,9688,NA,9030,9030,NA,2813,NA,8,NA,6729,NA,138,NA,0,NA,147,NA,28,NA,FALSE
2017,01,S08000024,Lothian,S319H,Royal Hospital for Children and Young People,Emergency Department,3670,3670,NA,3605,3605,NA,470,NA,0,NA,3023,NA,177,NA,0,NA,2,NA,0,NA,FALSE
2017,01,S08000025,Orkney,R103H,The Balfour,Emergency Department,431,431,NA,422,422,NA,119,NA,1,NA,309,NA,1,NA,1,NA,0,NA,0,NA,FALSE
2017,01,S08000026,Shetland,Z102H,Gilbert Bain Hospital,Emergency Department,557,557,NA,538,538,NA,144,NA,1,NA,405,NA,0,NA,7,NA,0,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T101H,Ninewells Hospital,Emergency Department,3737,3737,NA,3650,3650,NA,1255,NA,16,NA,2261,NA,205,NA,0,NA,0,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T202H,Perth Royal Infirmary,Emergency Department,1866,1866,NA,1826,1826,NA,392,NA,1,NA,1179,NA,280,NA,14,NA,1,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T205H,St Margaret's Hospital,Minor Injury Unit or Other,25,25,NA,25,25,NA,0,NA,0,NA,22,NA,3,NA,0,NA,0,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T209H,Blairgowrie & Rattray Cottage Hospital,Minor Injury Unit or Other,224,224,NA,224,224,NA,0,NA,0,NA,203,NA,17,NA,4,NA,0,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T304H,Arbroath Infirmary,Minor Injury Unit or Other,1090,1090,NA,1090,1090,NA,0,NA,0,NA,985,NA,101,NA,4,NA,0,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T305H,Brechin Infirmary,Minor Injury Unit or Other,170,170,NA,170,170,NA,0,NA,0,NA,163,NA,7,NA,0,NA,0,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T316H,Crieff Community Hospital,Minor Injury Unit or Other,96,96,NA,96,96,NA,0,NA,0,NA,88,NA,7,NA,1,NA,0,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T319H,Whitehills Health and Community Care Centre,Minor Injury Unit or Other,468,468,NA,468,468,NA,0,NA,0,NA,433,NA,34,NA,1,NA,0,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T320H,Pitlochry Community Hospital,Minor Injury Unit or Other,132,132,NA,132,132,NA,0,NA,0,NA,126,NA,6,NA,0,NA,0,NA,0,NA,FALSE
2017,01,S08000030,Tayside,T357C,NA,Minor Injury Unit or Other,383,383,NA,383,383,NA,0,NA,0,NA,355,NA,26,NA,2,NA,0,NA,0,NA,FALSE
2017,01,S08000028,Western Isles,W106H,St Brendans Cot Hospital,Minor Injury Unit or Other,33,NA,z,33,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,01,S08000028,Western Isles,W107H,Western Isles Hospital,Emergency Department,457,457,NA,452,452,NA,110,NA,0,NA,333,NA,6,NA,8,NA,0,NA,0,NA,FALSE
2017,01,S08000028,Western Isles,W108H,Uist & Barra Hospital,Minor Injury Unit or Other,142,142,NA,140,140,NA,14,NA,0,NA,126,NA,2,NA,0,NA,0,NA,0,NA,FALSE
2017,02,S08000015,Ayrshire and Arran,A101H,Arran War Memorial Hospital,Minor Injury Unit or Other,188,NA,z,186,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000015,Ayrshire and Arran,A110H,Lady Margaret Hospital,Minor Injury Unit or Other,69,NA,z,68,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000015,Ayrshire and Arran,A111H,University Hospital Crosshouse,Emergency Department,5104,5104,NA,4676,4676,NA,1873,NA,5,NA,2936,NA,102,NA,188,NA,86,NA,28,NA,FALSE
2017,02,S08000015,Ayrshire and Arran,A210H,University Hospital Ayr,Emergency Department,3253,3253,NA,2912,2912,NA,1364,NA,5,NA,1686,NA,102,NA,96,NA,51,NA,6,NA,FALSE
2017,02,S08000015,Ayrshire and Arran,A216H,Girvan Community Hospital,Minor Injury Unit or Other,51,NA,z,51,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000016,Borders,B103H,The Knoll Hospital,Minor Injury Unit or Other,13,NA,z,13,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000016,Borders,B105H,Hawick Community  Hospital,Minor Injury Unit or Other,52,NA,z,52,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000016,Borders,B114H,Kelso Hospital,Minor Injury Unit or Other,5,NA,z,5,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000016,Borders,B118H,Hay Lodge Hospital,Minor Injury Unit or Other,28,NA,z,28,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000016,Borders,B120H,Borders General Hospital,Emergency Department,2079,2079,NA,1989,1989,NA,773,NA,3,NA,1151,NA,145,NA,7,NA,2,NA,0,NA,FALSE
2017,02,S08000017,Dumfries and Galloway,Y101H,Castle Douglas Community Hospital,Minor Injury Unit or Other,11,NA,z,11,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000017,Dumfries and Galloway,Y106H,Kirkcudbright Cottage Hospital,Minor Injury Unit or Other,24,NA,z,24,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000017,Dumfries and Galloway,Y109H,Moffat Community Hospital,Minor Injury Unit or Other,3,NA,z,3,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000017,Dumfries and Galloway,Y110H,Newton Stewart Hospital,Minor Injury Unit or Other,6,6,NA,6,6,NA,0,NA,0,NA,6,NA,0,NA,0,NA,0,NA,0,NA,FALSE
2017,02,S08000017,Dumfries and Galloway,Y144H,Galloway Community Hospital,Emergency Department,869,869,NA,812,812,NA,75,NA,0,NA,692,NA,80,NA,22,NA,8,NA,1,NA,FALSE
2017,02,S08000017,Dumfries and Galloway,Y146H,Dumfries & Galloway Royal Infirmary,Emergency Department,2635,2635,NA,2394,2394,NA,1084,NA,3,NA,1442,NA,58,NA,48,NA,5,NA,0,NA,FALSE
2017,02,S08000029,Fife,F704H,Victoria Hospital,Emergency Department,4602,4602,NA,4264,4264,NA,1218,NA,7,NA,3121,NA,61,NA,195,NA,36,NA,2,NA,FALSE
2017,02,S08000029,Fife,F708H,Adamson Hospital,Minor Injury Unit or Other,116,116,NA,116,116,NA,0,NA,0,NA,0,NA,0,NA,116,NA,0,NA,0,NA,FALSE
2017,02,S08000029,Fife,F709H,St Andrews Community Hospital,Minor Injury Unit or Other,234,NA,z,234,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000029,Fife,F805H,Queen Margaret Hospital,Minor Injury Unit or Other,1501,1501,NA,1499,1499,NA,2,NA,0,NA,1384,NA,106,NA,9,NA,0,NA,0,NA,FALSE
2017,02,S08000019,Forth Valley,V201H,Stirling Community Hospital,Minor Injury Unit or Other,1028,1028,NA,1028,1028,NA,0,NA,0,NA,813,NA,31,NA,184,NA,0,NA,0,NA,FALSE
2017,02,S08000019,Forth Valley,V217H,Forth Valley Royal Hospital,Emergency Department,4793,4793,NA,4377,4377,NA,1468,NA,10,NA,2664,NA,91,NA,560,NA,17,NA,0,NA,FALSE
2017,02,S08000020,Grampian,N101H,Aberdeen Royal Infirmary,Emergency Department,4262,4262,NA,3920,3920,NA,1175,NA,15,NA,2673,NA,22,NA,377,NA,7,NA,0,NA,FALSE
2017,02,S08000020,Grampian,N121H,Royal Aberdeen Children's Hospital,Emergency Department,1161,1161,NA,1142,1142,NA,129,NA,1,NA,975,NA,0,NA,56,NA,0,NA,0,NA,FALSE
2017,02,S08000020,Grampian,N151H,Aboyne Hospital,Minor Injury Unit or Other,63,NA,z,63,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N331H,Inverurie Hospital,Minor Injury Unit or Other,8,NA,z,8,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N332H,Insch & District War Memorial Hosp.,Minor Injury Unit or Other,34,NA,z,34,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N333H,Peterhead Community Hospital,Minor Injury Unit or Other,1133,NA,z,1129,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N334H,Fraserburgh Hospital,Minor Injury Unit or Other,588,NA,z,586,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N335H,Jubilee Hospital,Minor Injury Unit or Other,208,NA,z,204,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N336H,Turriff Cottage Hospital,Minor Injury Unit or Other,177,NA,z,177,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N337H,Chalmers Hospital,Minor Injury Unit or Other,214,NA,z,206,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N411H,Dr Gray's Hospital,Emergency Department,1651,1651,NA,1569,1569,NA,349,NA,2,NA,1245,NA,20,NA,35,NA,4,NA,2,NA,FALSE
2017,02,S08000020,Grampian,N431H,Seafield Hospital,Minor Injury Unit or Other,42,NA,z,42,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N432H,Stephen Cottage Hospital,Minor Injury Unit or Other,12,NA,z,12,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N433H,Turner Memorial Hospital,Minor Injury Unit or Other,75,NA,z,75,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N451H,Fleming Cottage Hospital,Minor Injury Unit or Other,13,NA,z,13,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N494H,Kincardine Community Hospital,Minor Injury Unit or Other,60,NA,z,60,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000020,Grampian,N683C,NA,Minor Injury Unit or Other,28,NA,z,28,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,FALSE
2017,02,S08000031,Greater Glasgow and Clyde,C206H,Vale of Leven General Hospital,Minor Injury Unit or Other,1248,1248,NA,1208,1208,NA,214,NA,1,NA,956,NA,69,NA,8,NA,0,NA,0,NA,FALSE
2017,02,S08000031,Greater Glasgow and Clyde,C313H,Inverclyde Royal Hospital,Emergency Department,2258,2258,NA,2145,2145,NA,606,NA,2,NA,1453,NA,32,NA,165,NA,6,NA,0,NA,FALSE
2017,02,S08000031,Greater Glasgow and Clyde,C418H,Royal Alexandra Hospital,Emergency Department,5090,5090,NA,4558,4558,NA,1737,NA,15,NA,3131,NA,99,NA,108,NA,35,NA,0,NA,FALSE
2017,02,S08000031,Greater Glasgow and Clyde,G107H,Glasgow Royal Infirmary,Emergency Department,6953,6953,NA,6021,6021,NA,2094,NA,16,NA,4369,NA,174,NA,300,NA,41,NA,3,NA,FALSE
