Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
2018Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15817,,12349,,173.8131868,,135.7032967,,78.07422394,
2018Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,15806,,12390,,171.8043478,,134.673913,,78.38795394,
2018Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15806,,12390,,171.8043478,,134.673913,,78.38795394,
2018Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,14852,,11765,,161.4347826,,127.8804348,,79.21492055,
2018Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14852,,11765,,161.4347826,,127.8804348,,79.21492055,
2019Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,14783,,11654,,164.2555556,,129.4888889,,78.83379558,
2019Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14783,,11654,,164.2555556,,129.4888889,,78.83379558,
2019Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,14929,,11897,,164.0549451,,130.7362637,,79.6905352,
2019Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14929,,11897,,164.0549451,,130.7362637,,79.6905352,
2019Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,15392,,12067,,167.3043478,,131.1630435,,78.39786902,
2019Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15392,,12067,,167.3043478,,131.1630435,,78.39786902,
2019Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,15603,,11659,,169.5978261,,126.7282609,,74.72280972,
2019Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15603,,11659,,169.5978261,,126.7282609,,74.72280972,
2020Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,14896,,10915,,163.6923077,,119.9450549,,73.27470462,
2020Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14896,,10915,,163.6923077,,119.9450549,,73.27470462,
2020Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,14417,,8152,,158.4285714,,89.58241758,,56.54435736,
2020Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14417,,8152,,158.4285714,,89.58241758,,56.54435736,
2020Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,15524,,10016,,168.7391304,,108.8695652,,64.51945375,
2020Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15524,,10016,,168.7391304,,108.8695652,,64.51945375,
2020Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,15756,,11255,,171.2608696,,122.3369565,,71.43310485,
2020Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15756,,11255,,171.2608696,,122.3369565,,71.43310485,
2021Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,16637,,12150,,184.8555556,,135,,73.02999339,
2021Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16637,,12150,,184.8555556,,135,,73.02999339,
2021Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,16240,,12350,,178.4615385,,135.7142857,,76.04679803,
2021Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16240,,12350,,178.4615385,,135.7142857,,76.04679803,
2021Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,16931,,12063,,184.0326087,,131.1195652,,71.24800662,
2021Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16931,,12063,,184.0326087,,131.1195652,,71.24800662,
2021Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,17796,,12615,,193.4347826,,137.1195652,,70.88671612,
2021Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,17796,,12615,,193.4347826,,137.1195652,,70.88671612,
2022Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,17342,,12101,,192.6888889,,134.4555556,,69.77857225,
2022Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,17342,,12101,,192.6888889,,134.4555556,,69.77857225,
2022Q2,p,SB0801,,D102H,,Z9,d,All Specialties,d,16909,,12412,,185.8131868,,136.3956044,,73.40469572,
2022Q2,p,SB0801,,SB0801,d,Z9,d,All Specialties,d,16909,,12412,,185.8131868,,136.3956044,,73.40469572,
2017Q2,,SB0801,,D102H,,C3,,Anaesthetics,,8,,8,,0.087912088,,0.087912088,,100,
2017Q2,,SB0801,,SB0801,d,C3,,Anaesthetics,,8,,8,,0.087912088,,0.087912088,,100,
2017Q4,,SB0801,,D102H,,C3,,Anaesthetics,,7,,7,,0.076086957,,0.076086957,,100,
2017Q4,,SB0801,,SB0801,d,C3,,Anaesthetics,,7,,7,,0.076086957,,0.076086957,,100,
2020Q2,,SB0801,,D102H,,C3,,Anaesthetics,,56,,56,,0.615384615,,0.615384615,,100,
2020Q2,,SB0801,,SB0801,d,C3,,Anaesthetics,,56,,56,,0.615384615,,0.615384615,,100,
2020Q4,,SB0801,,D102H,,C3,,Anaesthetics,,17,,17,,0.184782609,,0.184782609,,100,
2020Q4,,SB0801,,SB0801,d,C3,,Anaesthetics,,17,,17,,0.184782609,,0.184782609,,100,
2021Q1,,SB0801,,D102H,,C3,,Anaesthetics,,36,,36,,0.4,,0.4,,100,
2021Q1,,SB0801,,SB0801,d,C3,,Anaesthetics,,36,,36,,0.4,,0.4,,100,
2021Q3,,SB0801,,D102H,,C3,,Anaesthetics,,1,,1,,0.010869565,,0.010869565,,100,
2021Q3,,SB0801,,SB0801,d,C3,,Anaesthetics,,1,,1,,0.010869565,,0.010869565,,100,
2021Q4,,SB0801,,D102H,,C3,,Anaesthetics,,24,,24,,0.260869565,,0.260869565,,100,
2021Q4,,SB0801,,SB0801,d,C3,,Anaesthetics,,24,,24,,0.260869565,,0.260869565,,100,
2017Q2,,SB0801,,D102H,,A2,,Cardiology,,2561,,2268,,28.14285714,,24.92307692,,88.55915658,
2017Q2,,SB0801,,SB0801,d,A2,,Cardiology,,2561,,2268,,28.14285714,,24.92307692,,88.55915658,
2017Q3,,SB0801,,D102H,,A2,,Cardiology,,2492,,2148,,27.08695652,,23.34782609,,86.19582665,
2017Q3,,SB0801,,SB0801,d,A2,,Cardiology,,2492,,2148,,27.08695652,,23.34782609,,86.19582665,
2017Q4,,SB0801,,D102H,,A2,,Cardiology,,2635,,2312,,28.64130435,,25.13043478,,87.74193548,
2017Q4,,SB0801,,SB0801,d,A2,,Cardiology,,2635,,2312,,28.64130435,,25.13043478,,87.74193548,
2018Q1,,SB0801,,D102H,,A2,,Cardiology,,2395,,2050,,26.61111111,,22.77777778,,85.59498956,
2018Q1,,SB0801,,SB0801,d,A2,,Cardiology,,2395,,2050,,26.61111111,,22.77777778,,85.59498956,
2018Q2,,SB0801,,D102H,,A2,,Cardiology,,2574,,2294,,28.28571429,,25.20879121,,89.12198912,
2018Q2,,SB0801,,SB0801,d,A2,,Cardiology,,2574,,2294,,28.28571429,,25.20879121,,89.12198912,
2018Q3,,SB0801,,D102H,,A2,,Cardiology,,2728,,2396,,29.65217391,,26.04347826,,87.82991202,
2018Q3,,SB0801,,SB0801,d,A2,,Cardiology,,2728,,2396,,29.65217391,,26.04347826,,87.82991202,
2018Q4,,SB0801,,D102H,,A2,,Cardiology,,2920,,2574,,31.73913043,,27.97826087,,88.15068493,
2018Q4,,SB0801,,SB0801,d,A2,,Cardiology,,2920,,2574,,31.73913043,,27.97826087,,88.15068493,
2019Q1,,SB0801,,D102H,,A2,,Cardiology,,2757,,2483,,30.63333333,,27.58888889,,90.06166123,
2019Q1,,SB0801,,SB0801,d,A2,,Cardiology,,2757,,2483,,30.63333333,,27.58888889,,90.06166123,
2019Q2,,SB0801,,D102H,,A2,,Cardiology,,2637,,2363,,28.97802198,,25.967032970000002,,89.60940463,
2019Q2,,SB0801,,SB0801,d,A2,,Cardiology,,2637,,2363,,28.97802198,,25.967032970000002,,89.60940463,
2019Q3,,SB0801,,D102H,,A2,,Cardiology,,2740,,2352,,29.7826087,,25.56521739,,85.83941606,
2019Q3,,SB0801,,SB0801,d,A2,,Cardiology,,2740,,2352,,29.7826087,,25.56521739,,85.83941606,
2019Q4,,SB0801,,D102H,,A2,,Cardiology,,2591,,2276,,28.16304348,,24.73913043,,87.84253184,
2019Q4,,SB0801,,SB0801,d,A2,,Cardiology,,2591,,2276,,28.16304348,,24.73913043,,87.84253184,
2020Q1,,SB0801,,D102H,,A2,,Cardiology,,2692,,2248,,29.58241758,,24.7032967,,83.50668648,
2020Q1,,SB0801,,SB0801,d,A2,,Cardiology,,2692,,2248,,29.58241758,,24.7032967,,83.50668648,
2020Q2,,SB0801,,D102H,,A2,,Cardiology,,4515,,3294,,49.61538462,,36.1978022,,72.95681063,
2020Q2,,SB0801,,SB0801,d,A2,,Cardiology,,4515,,3294,,49.61538462,,36.1978022,,72.95681063,
2020Q3,,SB0801,,D102H,,A2,,Cardiology,,4112,,3011,,44.69565217,,32.72826087,,73.22470817,
2020Q3,,SB0801,,SB0801,d,A2,,Cardiology,,4112,,3011,,44.69565217,,32.72826087,,73.22470817,
2020Q4,,SB0801,,D102H,,A2,,Cardiology,,3667,,2548,,39.85869565,,27.69565217,,69.48459231,
2020Q4,,SB0801,,SB0801,d,A2,,Cardiology,,3667,,2548,,39.85869565,,27.69565217,,69.48459231,
2021Q1,,SB0801,,D102H,,A2,,Cardiology,,4251,,3061,,47.23333333,,34.01111111,,72.00658669,
2021Q1,,SB0801,,SB0801,d,A2,,Cardiology,,4251,,3061,,47.23333333,,34.01111111,,72.00658669,
2021Q2,,SB0801,,D102H,,A2,,Cardiology,,3400,,3118,,37.36263736,,34.26373626,,91.70588235,
2021Q2,,SB0801,,SB0801,d,A2,,Cardiology,,3400,,3118,,37.36263736,,34.26373626,,91.70588235,
2021Q3,,SB0801,,D102H,,A2,,Cardiology,,3682,,3196,,40.02173913,,34.73913043,,86.80065182,
2021Q3,,SB0801,,SB0801,d,A2,,Cardiology,,3682,,3196,,40.02173913,,34.73913043,,86.80065182,
2021Q4,,SB0801,,D102H,,A2,,Cardiology,,4530,,3746,,49.23913043,,40.7173913,,82.69315673,
2021Q4,,SB0801,,SB0801,d,A2,,Cardiology,,4530,,3746,,49.23913043,,40.7173913,,82.69315673,
2022Q1,,SB0801,,D102H,,A2,,Cardiology,,4614,,3770,,51.26666667,,41.88888889,,81.70784569,
2022Q1,,SB0801,,SB0801,d,A2,,Cardiology,,4614,,3770,,51.26666667,,41.88888889,,81.70784569,
2022Q2,p,SB0801,,D102H,,A2,,Cardiology,,3807,,3294,,41.83516484,,36.1978022,,86.5248227,
2022Q2,p,SB0801,,SB0801,d,A2,,Cardiology,,3807,,3294,,41.83516484,,36.1978022,,86.5248227,
2017Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7581,,5418,,83.30769231,,59.53846154,,71.46814404,
2017Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7581,,5418,,83.30769231,,59.53846154,,71.46814404,
2017Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7675,,5552,,83.42391304,,60.34782609,,72.33876221,
2017Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7675,,5552,,83.42391304,,60.34782609,,72.33876221,
2017Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7791,,5661,,84.68478261,,61.5326087,,72.66076242,
2017Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7791,,5661,,84.68478261,,61.5326087,,72.66076242,
2018Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7781,,5858,,86.45555556,,65.08888889,,75.28595296,
2018Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7781,,5858,,86.45555556,,65.08888889,,75.28595296,
2018Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7818,,6052,,85.91208791,,66.50549451,,77.41110258,
2018Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7818,,6052,,85.91208791,,66.50549451,,77.41110258,
2018Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7681,,5916,,83.48913043,,64.30434783,,77.0212212,
2018Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7681,,5916,,83.48913043,,64.30434783,,77.0212212,
2018Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7176,,5497,,78,,59.75,,76.6025641,
2018Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7176,,5497,,78,,59.75,,76.6025641,
2019Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7230,,5644,,80.33333333,,62.71111111,,78.06362379,
2019Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7230,,5644,,80.33333333,,62.71111111,,78.06362379,
2019Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7428,,6188,,81.62637363,,68,,83.30640819,
2019Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7428,,6188,,81.62637363,,68,,83.30640819,
2019Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7644,,6197,,83.08695652,,67.35869565,,81.07012036,
2019Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7644,,6197,,83.08695652,,67.35869565,,81.07012036,
2019Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7877,,6165,,85.61956522,,67.01086957,,78.26583725,
2019Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7877,,6165,,85.61956522,,67.01086957,,78.26583725,
2020Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7486,,5828,,82.26373626,,64.04395604,,77.85199038,
2020Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7486,,5828,,82.26373626,,64.04395604,,77.85199038,
2020Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,6612,,3707,,72.65934066,,40.73626374,,56.06473079,
2020Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,6612,,3707,,72.65934066,,40.73626374,,56.06473079,
2020Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7074,,5123,,76.89130435,,55.68478261,,72.42013005,
2020Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7074,,5123,,76.89130435,,55.68478261,,72.42013005,
2020Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,6981,,5396,,75.88043478,,58.65217391,,77.2955164,
2020Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,6981,,5396,,75.88043478,,58.65217391,,77.2955164,
2021Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7232,,5083,,80.35555556,,56.47777778,,70.28484513,
2021Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7232,,5083,,80.35555556,,56.47777778,,70.28484513,
2021Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7502,,5413,,82.43956044,,59.48351648,,72.15409224,
2021Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7502,,5413,,82.43956044,,59.48351648,,72.15409224,
2021Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7688,,5321,,83.56521739,,57.83695652,,69.21175858,
2021Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7688,,5321,,83.56521739,,57.83695652,,69.21175858,
2021Q4,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7994,,5441,,86.89130435,,59.14130435,,68.06354766,
2021Q4,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7994,,5441,,86.89130435,,59.14130435,,68.06354766,
2022Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7635,,4825,,84.83333333,,53.61111111,,63.19580878,
2022Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7635,,4825,,84.83333333,,53.61111111,,63.19580878,
2022Q2,p,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7897,,5597,,86.78021978,,61.50549451,,70.87501583,
2022Q2,p,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7897,,5597,,86.78021978,,61.50549451,,70.87501583,
2021Q1,,SB0801,,D102H,,H1,,Clinical Radiology,,27,,27,,0.3,,0.3,,100,
2021Q1,,SB0801,,SB0801,d,H1,,Clinical Radiology,,27,,27,,0.3,,0.3,,100,
2021Q2,,SB0801,,D102H,,H1,,Clinical Radiology,,48,,48,,0.527472527,,0.527472527,,100,
2021Q2,,SB0801,,SB0801,d,H1,,Clinical Radiology,,48,,48,,0.527472527,,0.527472527,,100,
2021Q4,,SB0801,,D102H,,H1,,Clinical Radiology,,3,,3,,0.032608696,,0.032608696,,100,
2021Q4,,SB0801,,SB0801,d,H1,,Clinical Radiology,,3,,3,,0.032608696,,0.032608696,,100,
2021Q1,,SB0801,,D102H,,,z,Dental Grouping,d,7,,7,,0.077777778,,0.077777778,,100,
2021Q1,,SB0801,,SB0801,d,,z,Dental Grouping,d,7,,7,,0.077777778,,0.077777778,,100,
2021Q2,,SB0801,,D102H,,,z,Dental Grouping,d,2,,2,,0.021978022,,0.021978022,,100,
2021Q2,,SB0801,,SB0801,d,,z,Dental Grouping,d,2,,2,,0.021978022,,0.021978022,,100,
2021Q3,,SB0801,,D102H,,,z,Dental Grouping,d,2,,2,,0.02173913,,0.02173913,,100,
2021Q3,,SB0801,,SB0801,d,,z,Dental Grouping,d,2,,2,,0.02173913,,0.02173913,,100,
2021Q4,,SB0801,,D102H,,,z,Dental Grouping,d,2,,2,,0.02173913,,0.02173913,,100,
2021Q4,,SB0801,,SB0801,d,,z,Dental Grouping,d,2,,2,,0.02173913,,0.02173913,,100,
2020Q2,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,260,,260,,2.857142857,,2.857142857,,100,
2020Q2,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,260,,260,,2.857142857,,2.857142857,,100,
2020Q3,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,184,,184,,2,,2,,100,
2020Q3,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,184,,184,,2,,2,,100,
2020Q4,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,122,,122,,1.326086957,,1.326086957,,100,
2020Q4,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,122,,122,,1.326086957,,1.326086957,,100,
2021Q1,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,157,,157,,1.744444444,,1.744444444,,100,
2021Q1,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,157,,157,,1.744444444,,1.744444444,,100,
2021Q2,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,113,,113,,1.241758242,,1.241758242,,100,
2021Q2,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,113,,113,,1.241758242,,1.241758242,,100,
2021Q3,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,28,,28,,0.304347826,,0.304347826,,100,
2021Q3,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,28,,28,,0.304347826,,0.304347826,,100,
2021Q4,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,57,,57,,0.619565217,,0.619565217,,100,
2021Q4,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,57,,57,,0.619565217,,0.619565217,,100,
2022Q1,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,69,,69,,0.766666667,,0.766666667,,100,
2022Q1,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,69,,69,,0.766666667,,0.766666667,,100,
2022Q2,p,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,6,,6,,0.065934066,,0.065934066,,100,
2022Q2,p,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,6,,6,,0.065934066,,0.065934066,,100,
2022Q2,p,SB0801,,D102H,,A9,,Gastroenterology,,1,,1,,0.010989011,,0.010989011,,100,
2022Q2,p,SB0801,,SB0801,d,A9,,Gastroenterology,,1,,1,,0.010989011,,0.010989011,,100,
2017Q2,,SB0801,,D102H,,C1,,General Surgery,,57,,57,,0.626373626,,0.626373626,,100,
2017Q2,,SB0801,,SB0801,d,C1,,General Surgery,,57,,57,,0.626373626,,0.626373626,,100,
2017Q3,,SB0801,,D102H,,C1,,General Surgery,,65,,65,,0.706521739,,0.706521739,,100,
2017Q3,,SB0801,,SB0801,d,C1,,General Surgery,,65,,65,,0.706521739,,0.706521739,,100,
2017Q4,,SB0801,,D102H,,C1,,General Surgery,,47,,47,,0.510869565,,0.510869565,,100,
2017Q4,,SB0801,,SB0801,d,C1,,General Surgery,,47,,47,,0.510869565,,0.510869565,,100,
2018Q1,,SB0801,,D102H,,C1,,General Surgery,,72,,72,,0.8,,0.8,,100,
2018Q1,,SB0801,,SB0801,d,C1,,General Surgery,,72,,72,,0.8,,0.8,,100,
2018Q2,,SB0801,,D102H,,C1,,General Surgery,,49,,49,,0.538461538,,0.538461538,,100,
2018Q2,,SB0801,,SB0801,d,C1,,General Surgery,,49,,49,,0.538461538,,0.538461538,,100,
